electricity_usage_kwh,vehicle_type,vehicle_km,flights_short_haul,flights_long_haul,diet_type,waste_kg_weekly,household_size,grocery_spend_monthly,heating_source,internet_usage_hours,total_footprint_tco2e
131.7,diesel,1266.9,0,0,non-vegetarian,10.5,1,310.85,oil,9.2,12.29
192.4,diesel,1435.4,1,0,non-vegetarian,25.1,2,248.79,none,9.9,8.63
213.1,petrol,526.0,2,2,vegetarian,10.9,5,225.53,natural gas,5.2,5.46
334.6,petrol,1120.5,3,0,vegan,13.2,2,435.67,natural gas,11.4,8.52
277.5,diesel,1106.2,2,0,non-vegetarian,16.1,3,363.1,natural gas,4.1,8.13
109.0,diesel,1229.4,3,1,non-vegetarian,17.1,3,204.5,electricity,6.6,8.65
275.9,diesel,999.5,1,2,non-vegetarian,12.3,4,342.48,electricity,0.5,8.43
219.2,electric,23.0,1,0,non-vegetarian,14.0,2,408.42,natural gas,5.8,6.01
195.8,petrol,737.8,1,1,pescatarian,10.0,1,411.69,none,6.2,10.44
298.9,diesel,337.7,2,2,non-vegetarian,12.2,5,299.84,electricity,4.0,6.63
332.5,petrol,719.0,0,1,vegetarian,18.5,5,486.56,electricity,9.4,5.81
324.5,petrol,1192.0,1,2,vegetarian,19.5,1,181.8,electricity,0.7,10.56
182.9,electric,922.1,0,0,vegetarian,20.1,5,307.28,natural gas,0.6,2.79
225.3,diesel,1259.2,3,1,non-vegetarian,15.0,1,439.93,none,6.3,13.75
276.5,none,0.0,1,0,vegan,14.0,1,346.67,natural gas,0.5,7.76
328.0,petrol,280.7,2,0,vegetarian,8.5,4,312.54,electricity,8.2,3.88
211.7,diesel,0.0,1,0,non-vegetarian,13.2,2,188.2,natural gas,5.4,4.78
235.1,petrol,859.5,0,0,vegetarian,15.9,3,106.85,natural gas,8.1,4.86
161.5,petrol,714.4,2,0,vegetarian,20.4,3,197.27,natural gas,6.2,4.88
154.3,hybrid,409.2,0,0,non-vegetarian,5.3,2,475.89,natural gas,6.9,7.03
315.0,diesel,119.7,0,2,non-vegetarian,13.3,5,202.15,oil,5.7,5.38
358.5,hybrid,506.1,1,0,vegetarian,3.7,1,300.17,electricity,9.6,8.61
244.2,petrol,722.2,1,1,vegetarian,7.0,3,598.47,oil,9.2,7.52
330.3,hybrid,1066.4,3,1,non-vegetarian,21.6,4,454.16,oil,7.2,7.51
278.9,petrol,875.5,0,1,non-vegetarian,8.5,5,277.36,oil,6.9,6.91
198.4,hybrid,1443.2,3,0,vegetarian,15.5,4,263.11,electricity,8.1,5.37
278.9,petrol,385.8,1,1,vegetarian,20.1,3,516.06,none,5.6,5.91
373.0,petrol,1152.4,3,0,non-vegetarian,12.7,2,248.67,natural gas,7.1,8.59
247.1,diesel,818.9,2,2,non-vegetarian,8.9,2,301.22,natural gas,4.0,9.55
375.2,none,0.0,3,0,non-vegetarian,15.6,4,271.71,natural gas,2.1,4.32
50.0,petrol,625.4,2,0,pescatarian,22.8,5,545.9,natural gas,5.7,4.91
315.8,petrol,1228.7,1,1,vegetarian,20.0,3,298.82,natural gas,9.0,7.66
257.0,hybrid,918.1,1,0,non-vegetarian,13.8,1,251.39,natural gas,8.1,9.3
226.1,petrol,528.2,0,2,non-vegetarian,12.2,2,404.16,electricity,2.8,8.59
257.3,petrol,795.2,1,1,vegan,20.8,4,592.12,electricity,3.9,6.33
91.0,petrol,704.2,1,0,non-vegetarian,7.7,3,116.77,electricity,4.8,5.07
232.4,petrol,995.7,3,1,vegetarian,19.7,5,351.79,oil,1.8,6.3
278.6,none,0.0,1,0,non-vegetarian,12.3,1,175.67,none,3.8,6.11
368.2,electric,788.3,1,0,vegan,7.6,1,515.35,electricity,2.2,10.22
208.5,diesel,958.1,1,0,non-vegetarian,6.2,2,132.88,natural gas,4.9,7.01
185.3,none,0.0,3,2,non-vegetarian,23.2,1,421.62,electricity,4.5,11.29
209.9,diesel,1338.8,1,0,non-vegetarian,14.0,3,189.78,electricity,8.5,7.76
323.2,petrol,1109.6,3,0,non-vegetarian,10.5,2,546.42,natural gas,6.8,10.24
276.3,petrol,797.0,3,1,non-vegetarian,14.8,2,662.65,natural gas,9.2,11.21
207.6,petrol,886.7,1,0,non-vegetarian,12.1,2,484.64,natural gas,0.5,8.7
291.1,petrol,918.3,2,1,vegan,12.3,3,293.61,electricity,2.7,6.42
257.8,none,0.0,0,0,non-vegetarian,12.5,4,119.32,natural gas,7.0,3.39
327.5,electric,69.7,2,0,vegetarian,15.0,1,328.8,electricity,6.8,8.42
193.8,petrol,679.4,2,0,non-vegetarian,18.8,1,339.13,electricity,5.0,10.12
223.8,diesel,206.2,2,2,non-vegetarian,7.4,4,649.42,none,8.9,7.31
218.6,electric,1311.3,0,0,vegetarian,21.8,2,320.07,electricity,5.9,5.2
132.9,none,0.0,0,0,non-vegetarian,10.3,5,193.31,electricity,12.8,3.35
273.7,hybrid,722.7,2,0,non-vegetarian,16.3,3,330.73,natural gas,6.3,5.84
270.9,diesel,1158.7,0,1,non-vegetarian,14.7,2,242.5,natural gas,4.1,9.12
250.4,electric,968.9,2,0,vegan,11.0,2,285.87,electricity,10.7,4.86
231.2,diesel,348.5,1,0,non-vegetarian,20.7,2,624.42,natural gas,6.1,8.34
136.8,diesel,771.6,3,0,non-vegetarian,11.0,1,172.89,natural gas,7.8,8.96
216.3,petrol,665.9,1,1,vegetarian,22.1,1,444.23,oil,3.1,12.26
222.6,petrol,102.2,0,0,non-vegetarian,18.3,5,252.87,natural gas,7.1,3.73
185.8,diesel,523.9,3,0,non-vegetarian,11.3,3,294.79,none,5.8,5.96
237.1,petrol,726.6,1,0,non-vegetarian,9.0,2,298.12,natural gas,8.0,7.47
282.3,petrol,754.0,3,0,non-vegetarian,20.3,1,154.81,natural gas,5.0,9.21
400.9,electric,207.1,3,2,non-vegetarian,9.3,4,388.27,electricity,1.0,6.68
264.0,petrol,1260.7,2,0,non-vegetarian,14.3,1,50.0,natural gas,8.1,8.85
270.6,diesel,759.2,1,1,non-vegetarian,18.5,2,254.9,electricity,6.0,8.19
244.0,diesel,815.0,2,0,vegetarian,17.3,2,344.26,electricity,4.0,7.04
96.5,none,0.0,2,2,non-vegetarian,14.0,1,386.67,none,6.4,9.51
247.9,diesel,484.8,3,0,vegan,11.4,4,379.65,none,6.5,4.04
254.8,petrol,982.5,1,1,non-vegetarian,18.6,4,130.73,electricity,7.3,6.65
447.1,diesel,653.2,2,0,non-vegetarian,5.6,2,237.5,natural gas,7.2,7.64
234.6,hybrid,441.4,1,0,vegetarian,16.3,1,321.16,natural gas,10.2,8.59
274.1,none,0.0,3,0,non-vegetarian,8.5,3,187.38,natural gas,5.1,4.28
247.2,petrol,1396.7,1,1,non-vegetarian,10.6,3,326.6,oil,9.0,9.15
156.5,petrol,1089.9,0,0,vegetarian,16.8,2,381.09,electricity,4.8,7.01
341.4,none,0.0,1,1,non-vegetarian,11.3,4,218.71,natural gas,1.4,4.52
310.2,petrol,591.7,2,1,non-vegetarian,20.8,3,396.38,natural gas,9.8,7.35
313.3,diesel,161.0,1,0,non-vegetarian,18.5,1,261.88,none,3.5,7.45
177.2,petrol,1396.1,2,0,vegetarian,11.5,5,177.55,electricity,8.4,5.9
362.2,petrol,1621.8,0,2,vegan,13.9,5,498.16,none,6.2,8.37
137.9,petrol,1417.1,1,2,vegetarian,9.5,4,227.38,oil,6.7,7.94
296.9,petrol,665.7,2,0,vegan,17.4,5,84.49,electricity,9.4,3.85
425.2,diesel,338.1,2,0,non-vegetarian,22.8,1,223.33,oil,0.5,10.17
170.8,none,0.0,2,1,non-vegetarian,9.0,2,336.96,electricity,8.4,6.35
204.7,petrol,126.5,3,0,vegan,15.9,2,350.52,electricity,8.0,4.83
258.0,hybrid,757.0,4,0,vegetarian,16.6,1,136.56,electricity,3.3,6.84
209.7,petrol,1442.3,3,0,non-vegetarian,8.7,2,393.36,natural gas,6.0,9.83
125.9,diesel,743.3,2,0,non-vegetarian,10.0,1,293.63,natural gas,8.6,10.34
255.5,petrol,920.9,0,0,non-vegetarian,6.0,1,82.4,none,2.8,6.7
165.0,none,0.0,4,0,vegetarian,17.8,5,50.0,oil,5.4,2.86
287.9,electric,638.4,3,0,non-vegetarian,13.2,5,331.79,none,9.3,4.36
176.4,diesel,1614.2,0,1,non-vegetarian,11.4,4,251.81,none,1.8,8.61
374.0,hybrid,1596.8,1,0,non-vegetarian,25.3,5,167.33,electricity,6.8,6.01
187.3,diesel,747.6,4,0,non-vegetarian,6.0,2,206.95,natural gas,6.8,7.32
224.2,none,0.0,4,0,non-vegetarian,21.4,5,285.25,electricity,6.6,3.99
315.1,electric,1078.9,1,1,non-vegetarian,4.2,1,281.62,natural gas,2.3,9.93
151.5,none,0.0,4,0,non-vegetarian,12.4,5,281.84,natural gas,5.8,4.12
268.2,diesel,337.4,3,0,non-vegetarian,6.5,2,277.75,natural gas,6.0,6.72
354.6,petrol,1312.5,0,0,vegetarian,10.9,4,595.8,natural gas,5.5,7.33
121.4,diesel,1286.6,3,0,non-vegetarian,12.3,3,223.44,electricity,8.4,7.79
264.8,petrol,862.2,0,1,non-vegetarian,11.5,1,409.4,oil,6.0,13.5
270.8,diesel,294.9,1,1,non-vegetarian,16.3,2,391.22,electricity,6.6,7.82
312.5,diesel,308.2,3,0,non-vegetarian,19.4,2,212.84,natural gas,1.8,6.29
151.0,diesel,842.9,3,0,non-vegetarian,14.4,3,50.0,oil,3.3,5.97
144.4,petrol,600.1,1,1,non-vegetarian,16.6,4,237.03,oil,4.0,6.04
291.8,petrol,663.6,5,0,non-vegetarian,22.8,1,51.48,natural gas,4.3,8.15
273.8,diesel,1208.8,7,0,non-vegetarian,11.5,4,50.0,natural gas,6.1,7.63
270.0,none,0.0,2,1,non-vegetarian,19.5,3,223.67,electricity,3.3,5.29
277.7,petrol,1351.3,0,1,non-vegetarian,27.6,1,311.9,natural gas,2.3,12.73
195.6,petrol,403.8,1,1,non-vegetarian,24.1,5,267.87,oil,6.3,5.47
268.6,electric,662.7,4,1,non-vegetarian,23.1,4,55.37,electricity,5.8,5.02
273.4,diesel,1103.6,1,0,vegetarian,18.6,5,117.83,natural gas,6.9,5.8
192.9,petrol,979.2,1,1,vegetarian,20.8,1,322.58,electricity,12.4,10.51
399.3,petrol,1413.0,2,1,non-vegetarian,12.6,3,392.97,electricity,2.2,9.57
287.9,petrol,968.2,1,1,vegan,14.6,5,174.85,none,6.1,5.56
154.7,none,0.0,1,1,vegetarian,14.0,5,295.78,natural gas,5.9,3.42
302.5,petrol,1016.0,2,0,non-vegetarian,11.7,2,330.91,oil,6.3,8.61
172.0,petrol,1224.9,0,1,pescatarian,15.7,1,559.03,natural gas,12.3,14.32
313.0,petrol,670.6,1,0,non-vegetarian,12.4,3,537.18,natural gas,0.5,6.99
342.7,petrol,805.7,0,0,vegetarian,15.3,2,389.36,electricity,4.8,6.87
184.3,electric,1164.4,2,0,vegetarian,8.1,4,50.0,oil,6.0,3.33
327.1,petrol,1445.2,1,0,non-vegetarian,12.3,3,521.76,electricity,7.5,8.75
283.0,petrol,1091.7,0,0,non-vegetarian,21.6,2,370.93,natural gas,8.1,8.69
315.8,diesel,766.7,1,1,vegetarian,16.0,4,202.56,natural gas,0.8,5.78
401.7,petrol,1350.9,0,0,non-vegetarian,21.7,3,595.65,natural gas,5.4,9.18
230.4,petrol,0.0,1,1,non-vegetarian,12.0,2,252.64,electricity,3.1,5.94
189.7,hybrid,231.1,0,0,non-vegetarian,13.8,3,622.57,natural gas,7.1,6.14
178.8,electric,1072.7,4,1,non-vegetarian,16.1,5,130.72,oil,6.5,5.64
184.7,none,0.0,3,1,pescatarian,14.0,2,235.81,none,4.2,4.74
243.8,hybrid,1042.2,0,0,non-vegetarian,8.0,5,50.0,oil,11.3,5.23
277.3,diesel,825.8,4,0,non-vegetarian,17.8,2,230.37,natural gas,5.1,7.89
272.1,petrol,1028.4,1,1,vegetarian,10.1,5,480.69,none,5.0,6.15
316.2,electric,474.2,1,0,non-vegetarian,14.9,1,216.38,natural gas,3.3,8.16
251.0,hybrid,1028.2,3,1,non-vegetarian,4.3,5,174.51,natural gas,0.5,5.97
366.3,electric,1197.8,2,0,non-vegetarian,11.8,1,487.65,natural gas,6.2,12.38
228.8,diesel,1288.2,1,4,pescatarian,14.4,3,323.65,natural gas,3.3,10.89
467.6,petrol,1605.4,0,1,non-vegetarian,17.8,4,320.48,natural gas,6.6,9.33
300.1,hybrid,897.6,2,2,non-vegetarian,8.8,4,135.63,natural gas,14.9,7.07
181.4,electric,909.6,4,0,non-vegetarian,10.5,4,148.38,natural gas,6.6,4.9
164.3,none,0.0,0,0,non-vegetarian,23.8,1,262.95,natural gas,6.6,7.87
288.6,petrol,587.4,1,2,non-vegetarian,24.8,4,50.0,electricity,9.0,6.19
232.1,petrol,722.8,1,0,vegetarian,17.6,4,420.13,electricity,10.0,5.36
307.1,petrol,1220.1,2,1,non-vegetarian,21.4,5,391.78,natural gas,6.6,7.72
287.9,electric,555.6,4,0,non-vegetarian,13.0,4,362.64,natural gas,6.6,5.36
244.2,petrol,1118.5,2,0,non-vegetarian,18.3,1,102.57,electricity,4.3,8.75
182.3,petrol,799.4,1,2,vegetarian,18.0,5,405.62,natural gas,7.7,6.78
128.8,none,0.0,1,0,vegan,10.3,1,171.93,none,7.8,3.88
214.3,petrol,899.6,0,1,non-vegetarian,16.0,2,486.13,oil,6.1,9.9
318.5,hybrid,643.5,2,1,pescatarian,13.5,4,254.16,natural gas,2.4,5.22
267.1,petrol,628.4,2,0,non-vegetarian,16.8,1,311.7,electricity,6.6,10.08
150.3,hybrid,118.1,1,1,non-vegetarian,12.3,1,394.63,electricity,8.3,10.0
263.9,diesel,700.8,0,0,vegetarian,7.7,5,345.05,natural gas,3.1,4.54
280.8,none,0.0,0,2,non-vegetarian,15.1,2,50.0,electricity,6.8,5.43
179.3,none,0.0,1,1,non-vegetarian,19.2,2,50.0,electricity,8.3,4.82
262.3,petrol,966.7,0,0,non-vegetarian,19.2,4,182.24,oil,7.0,6.17
254.7,petrol,1063.5,1,0,pescatarian,6.1,3,360.94,natural gas,11.4,6.95
158.6,petrol,892.9,3,0,vegetarian,15.9,3,557.93,electricity,3.9,6.81
278.6,diesel,1198.2,1,0,non-vegetarian,18.4,5,253.99,none,2.9,6.82
294.9,hybrid,1030.2,3,1,non-vegetarian,15.7,4,421.68,electricity,3.2,7.0
336.6,diesel,682.0,4,0,non-vegetarian,19.3,5,401.75,natural gas,4.3,6.17
334.3,diesel,614.9,0,0,vegetarian,7.9,4,98.99,natural gas,3.9,4.0
139.8,petrol,925.1,1,0,vegetarian,9.3,2,299.21,natural gas,8.4,6.58
175.0,hybrid,1029.5,3,0,non-vegetarian,17.9,3,209.72,natural gas,0.5,5.53
291.2,none,0.0,0,1,non-vegetarian,13.3,1,162.03,electricity,3.9,7.4
291.1,petrol,1276.5,0,1,non-vegetarian,20.9,3,555.23,natural gas,8.9,9.44
291.2,diesel,583.4,2,0,non-vegetarian,16.5,4,357.31,natural gas,5.4,5.98
558.2,petrol,759.2,1,1,vegan,10.5,3,174.84,oil,2.3,5.76
295.7,diesel,1068.4,0,2,non-vegetarian,10.3,1,210.55,electricity,4.5,11.69
340.8,diesel,1227.2,2,0,non-vegetarian,5.6,2,319.43,natural gas,9.9,9.66
326.3,petrol,1175.6,2,0,vegetarian,18.4,2,355.75,natural gas,5.4,8.15
302.1,petrol,774.4,3,1,non-vegetarian,14.4,4,50.0,natural gas,6.9,6.55
224.8,petrol,298.4,1,1,non-vegetarian,19.6,3,499.66,electricity,5.4,6.73
310.7,diesel,400.4,2,1,vegetarian,16.3,4,330.61,natural gas,10.8,5.67
188.2,diesel,909.1,0,0,non-vegetarian,15.6,3,161.46,natural gas,5.0,6.44
231.1,petrol,936.9,1,0,non-vegetarian,19.1,5,662.49,oil,4.3,7.01
211.2,electric,360.5,0,0,non-vegetarian,14.5,4,365.37,natural gas,8.1,4.4
256.5,electric,817.8,0,0,non-vegetarian,13.3,3,532.33,natural gas,7.8,6.28
435.2,petrol,1052.5,1,0,non-vegetarian,15.0,5,486.61,electricity,5.5,6.85
100.6,petrol,339.5,1,0,non-vegetarian,19.2,4,602.78,natural gas,6.6,6.0
304.9,electric,1242.0,0,0,non-vegetarian,10.3,2,458.78,natural gas,8.1,7.5
121.0,none,0.0,1,0,non-vegetarian,19.6,5,441.72,electricity,4.3,3.83
212.2,petrol,1303.0,0,0,vegan,15.3,4,414.76,oil,8.4,6.36
337.1,petrol,586.6,1,0,non-vegetarian,13.1,1,515.97,electricity,6.3,12.61
255.1,petrol,389.3,0,0,pescatarian,15.9,2,215.58,natural gas,6.9,5.17
163.8,diesel,616.7,0,0,vegan,20.9,5,362.34,natural gas,4.3,4.14
192.8,petrol,761.9,0,1,vegan,20.8,3,217.59,natural gas,6.0,5.32
304.4,petrol,644.6,3,1,non-vegetarian,17.0,1,439.76,electricity,3.4,12.65
191.6,diesel,713.6,0,2,pescatarian,18.1,3,255.22,natural gas,4.4,7.08
267.3,diesel,933.6,2,1,non-vegetarian,15.2,1,266.39,natural gas,9.4,12.12
253.6,petrol,731.5,1,0,non-vegetarian,12.1,4,50.0,natural gas,2.8,5.01
197.9,petrol,773.6,0,0,non-vegetarian,17.2,4,598.96,none,4.2,6.39
421.5,diesel,116.3,4,0,vegetarian,12.8,3,113.95,natural gas,3.5,3.91
300.7,petrol,956.7,0,0,non-vegetarian,9.9,3,364.2,oil,7.1,7.23
88.0,petrol,764.3,1,0,vegetarian,12.9,3,392.05,natural gas,10.2,5.93
264.9,hybrid,1444.1,2,0,vegetarian,6.8,5,511.51,electricity,5.3,5.44
197.1,petrol,424.2,2,0,non-vegetarian,8.8,2,226.1,electricity,0.5,5.78
318.2,electric,76.7,1,0,pescatarian,25.1,3,96.16,electricity,8.1,3.45
186.6,none,0.0,2,1,non-vegetarian,20.6,4,444.15,electricity,5.7,5.43
240.8,petrol,938.6,0,0,non-vegetarian,13.8,4,474.39,none,7.4,6.65
290.4,petrol,396.6,3,0,vegetarian,17.6,3,355.24,none,8.1,4.73
319.3,diesel,188.1,2,0,non-vegetarian,10.2,3,307.19,natural gas,4.2,5.69
154.0,hybrid,1415.0,2,1,vegetarian,18.3,4,294.72,electricity,2.6,5.64
223.2,none,0.0,3,1,non-vegetarian,16.3,5,134.26,electricity,2.5,4.48
212.0,electric,0.0,1,0,non-vegetarian,11.5,1,50.0,natural gas,11.5,5.74
197.7,petrol,616.7,2,2,vegetarian,13.4,4,548.52,natural gas,4.4,7.0
391.2,diesel,1465.7,0,0,non-vegetarian,13.0,1,301.86,natural gas,4.6,13.34
282.4,petrol,609.6,3,1,vegetarian,19.3,3,423.24,natural gas,7.7,6.62
149.1,diesel,603.8,2,0,non-vegetarian,14.6,2,247.18,oil,5.8,7.21
323.4,petrol,686.9,2,0,non-vegetarian,7.1,3,247.24,electricity,0.5,6.18
419.8,petrol,351.6,0,0,non-vegetarian,12.8,3,230.16,oil,2.8,5.61
332.6,electric,118.1,2,1,non-vegetarian,11.1,3,270.59,none,6.6,5.44
128.5,diesel,1221.0,2,1,non-vegetarian,7.6,4,469.13,electricity,3.1,8.32
211.3,petrol,62.8,1,0,non-vegetarian,11.2,4,320.0,oil,10.7,4.73
351.4,petrol,898.9,1,1,pescatarian,4.2,2,552.22,electricity,2.2,9.38
193.4,hybrid,1154.6,1,2,non-vegetarian,10.3,1,129.99,natural gas,2.6,9.71
285.5,electric,219.5,1,2,non-vegetarian,16.0,1,273.48,natural gas,2.9,10.15
312.0,petrol,430.3,0,0,non-vegetarian,17.3,1,292.08,natural gas,7.5,9.52
175.8,petrol,1285.3,3,0,non-vegetarian,17.5,3,409.43,natural gas,2.3,8.26
245.2,petrol,1013.2,1,0,non-vegetarian,19.8,2,195.0,natural gas,10.7,7.39
50.0,none,0.0,2,1,non-vegetarian,20.9,3,472.93,natural gas,9.8,6.15
168.0,diesel,1280.9,1,1,non-vegetarian,9.9,2,395.41,electricity,8.7,10.09
229.8,diesel,1282.6,3,0,non-vegetarian,8.1,5,540.03,electricity,1.0,8.22
150.2,diesel,907.6,5,1,non-vegetarian,15.2,4,223.92,electricity,6.8,7.66
380.6,petrol,439.9,2,0,vegetarian,17.7,3,50.51,oil,0.5,3.82
135.6,hybrid,634.6,1,2,non-vegetarian,10.8,5,444.76,electricity,10.3,6.86
214.8,diesel,914.6,1,0,non-vegetarian,16.3,1,464.01,natural gas,6.9,13.37
260.5,petrol,724.6,1,0,non-vegetarian,24.1,5,50.0,oil,7.5,5.09
365.3,petrol,1175.6,0,2,non-vegetarian,8.3,4,384.89,electricity,4.7,8.48
135.1,diesel,188.1,0,1,non-vegetarian,15.0,4,346.72,oil,6.3,5.32
343.1,none,0.0,2,0,non-vegetarian,20.2,4,218.44,natural gas,6.1,3.88
250.8,petrol,872.3,1,0,vegetarian,14.0,5,533.43,electricity,6.6,5.53
171.5,hybrid,603.4,2,0,vegetarian,17.1,1,236.53,natural gas,7.7,7.5
287.0,electric,549.2,5,0,vegan,19.6,3,555.39,electricity,1.4,5.0
265.9,petrol,92.8,4,1,non-vegetarian,13.5,1,440.76,electricity,6.5,11.47
202.0,petrol,807.8,0,1,non-vegetarian,9.7,2,407.55,electricity,10.0,8.89
255.6,petrol,778.9,0,1,pescatarian,14.5,2,373.03,electricity,4.7,7.65
219.2,electric,1061.4,2,0,vegetarian,9.5,3,409.91,natural gas,10.2,4.88
259.1,petrol,827.6,2,0,non-vegetarian,12.2,4,210.83,natural gas,1.3,5.74
303.0,petrol,747.0,2,0,pescatarian,17.2,3,120.56,oil,11.4,5.71
376.9,diesel,1270.8,1,1,non-vegetarian,15.9,5,555.05,natural gas,2.2,8.65
151.0,electric,275.0,1,0,pescatarian,20.0,4,214.88,none,6.3,2.9
420.6,petrol,1014.6,2,1,non-vegetarian,16.2,3,268.18,natural gas,6.9,8.39
93.8,petrol,131.5,1,0,non-vegetarian,11.1,3,98.83,natural gas,6.2,3.71
237.9,diesel,464.7,4,0,non-vegetarian,10.0,5,392.74,electricity,3.7,5.39
297.1,diesel,314.9,0,1,non-vegetarian,18.1,5,140.77,electricity,9.3,4.99
272.5,hybrid,1112.8,3,0,non-vegetarian,16.2,1,362.22,natural gas,3.4,11.33
200.2,petrol,773.8,6,0,non-vegetarian,14.0,2,251.47,natural gas,13.8,8.15
233.4,hybrid,794.6,4,0,non-vegetarian,16.7,3,334.74,natural gas,3.0,6.27
210.6,diesel,357.3,2,0,non-vegetarian,11.5,1,553.48,natural gas,9.1,12.75
202.9,diesel,680.1,2,0,vegan,2.8,4,130.04,natural gas,1.7,4.41
318.0,diesel,494.6,1,3,vegetarian,20.2,4,222.54,electricity,3.8,6.7
278.6,petrol,953.4,2,0,non-vegetarian,18.2,2,184.54,natural gas,0.5,7.27
194.6,petrol,403.6,2,1,non-vegetarian,14.6,4,374.17,oil,9.8,6.49
322.0,diesel,1331.9,2,1,non-vegetarian,10.5,2,362.05,natural gas,7.8,10.84
274.6,diesel,129.8,2,2,vegetarian,13.9,4,267.56,electricity,0.5,5.06
315.0,diesel,477.4,2,0,vegetarian,6.4,4,476.11,natural gas,2.3,5.31
300.4,petrol,1470.9,0,0,non-vegetarian,15.6,3,304.16,oil,0.5,8.16
183.7,none,0.0,1,0,non-vegetarian,5.3,5,208.45,none,5.0,3.1
205.2,diesel,274.0,0,0,non-vegetarian,15.5,3,497.92,electricity,4.9,6.01
309.8,petrol,887.6,1,1,pescatarian,11.5,1,264.23,electricity,9.1,10.31
